DATE,Delinquency Rate,Interest Rate
1987-01-01,6.75,6.22
1987-04-01,6.75,6.65
1987-07-01,6.4,6.843333333
1987-10-01,6.23,6.916666667
1988-01-01,5.85,6.663333333
1988-04-01,5.46,7.156666667
1988-07-01,5.4,7.983333333
1988-10-01,5,8.47
1989-01-01,5.25,9.443333333
1989-04-01,5.18,9.726666667
1989-07-01,5.2,9.083333333
1989-10-01,5.15,8.613333333
1990-01-01,5.17,8.25
1990-04-01,5.35,8.243333333
1990-07-01,5.46,8.16
1990-10-01,6.27,7.743333333
1991-01-01,6.29,6.426666667
1991-04-01,6.41,5.863333333
1991-07-01,6.22,5.643333333
1991-10-01,6.03,4.816666667
1992-01-01,5.76,4.023333333
1992-04-01,5.49,3.77
1992-07-01,5.25,3.256666667
1992-10-01,4.76,3.036666667
1993-01-01,4.41,3.04
1993-04-01,4.01,3
1993-07-01,3.61,3.06
1993-10-01,3.05,2.99
1994-01-01,2.79,3.213333333
1994-04-01,2.4,3.94
1994-07-01,2.22,4.486666667
1994-10-01,2.18,5.166666667
1995-01-01,2.12,5.81
1995-04-01,2.1,6.02
1995-07-01,2.07,5.796666667
1995-10-01,2.07,5.72
1996-01-01,2.06,5.363333333
1996-04-01,2.06,5.243333333
1996-07-01,2.01,5.306666667
1996-10-01,1.95,5.28
1997-01-01,1.9,5.276666667
1997-04-01,1.81,5.523333333
1997-07-01,1.72,5.533333333
1997-10-01,1.7,5.506666667
1998-01-01,1.81,5.52
1998-04-01,1.73,5.5
1998-07-01,1.77,5.533333333
1998-10-01,1.87,4.86
1999-01-01,1.97,4.733333333
1999-04-01,2,4.746666667
1999-07-01,2.06,5.093333333
1999-10-01,1.99,5.306666667
2000-01-01,2.11,5.676666667
2000-04-01,2.24,6.273333333
2000-07-01,2.33,6.52
2000-10-01,2.52,6.473333333
2001-01-01,2.65,5.593333333
2001-04-01,2.94,4.326666667
2001-07-01,3.26,3.496666667
2001-10-01,3.48,2.133333333
2002-01-01,3.69,1.733333333
2002-04-01,3.92,1.75
2002-07-01,3.88,1.74
2002-10-01,3.87,1.443333333
2003-01-01,3.65,1.25
2003-04-01,3.56,1.246666667
2003-07-01,3.27,1.016666667
2003-10-01,2.84,0.996666667
2004-01-01,2.57,1.003333333
2004-04-01,2.29,1.01
2004-07-01,2.03,1.433333333
2004-10-01,1.81,1.95
2005-01-01,1.63,2.47
2005-04-01,1.49,2.943333333
2005-07-01,1.47,3.46
2005-10-01,1.44,3.98
2006-01-01,1.4,4.456666667
2006-04-01,1.29,4.906666667
2006-07-01,1.25,5.246666667
2006-10-01,1.15,5.246666667
2007-01-01,1.2,5.256666667
2007-04-01,1.18,5.25
2007-07-01,1.2,5.073333333
2007-10-01,1.31,4.496666667
2008-01-01,1.45,3.176666667
2008-04-01,1.76,2.086666667
2008-07-01,1.76,1.94
2008-10-01,2.56,0.506666667
2009-01-01,3.2,0.183333333
2009-04-01,3.76,0.18
2009-07-01,4.36,0.156666667
2009-10-01,4.3,0.12
2010-01-01,3.95,0.133333333
2010-04-01,3.62,0.193333333
2010-07-01,3.31,0.186666667
2010-10-01,2.98,0.186666667
2011-01-01,2.45,0.156666667
2011-04-01,2.11,0.093333333
2011-07-01,1.83,0.083333333
2011-10-01,1.64,0.073333333
2012-01-01,1.53,0.103333333
2012-04-01,1.4,0.153333333
2012-07-01,1.25,0.143333333
2012-10-01,1.18,0.16
2013-01-01,1.11,0.143333333
2013-04-01,1.04,0.116666667
2013-07-01,0.98,0.083333333
2013-10-01,0.89,0.086666667
2014-01-01,0.9,0.073333333
2014-04-01,0.8,0.093333333
2014-07-01,0.77,0.09
2014-10-01,0.72,0.1
2015-01-01,0.75,0.11
2015-04-01,0.81,0.123333333
2015-07-01,0.9,0.136666667
2015-10-01,1.02,0.16
2016-01-01,1.5,0.36
2016-04-01,1.6,0.373333333
2016-07-01,1.59,0.396666667
2016-10-01,1.58,0.45
2017-01-01,1.54,0.7
2017-04-01,1.36,0.95
2017-07-01,1.27,1.153333333
2017-10-01,1.17,1.203333333
2018-01-01,1.11,1.446666667
2018-04-01,1.08,1.736666667
2018-07-01,0.99,1.923333333
2018-10-01,0.93,2.22
2019-01-01,1.16,2.403333333
2019-04-01,1.08,2.396666667
2019-07-01,1.12,2.19
2019-10-01,1.09,1.643333333
2020-01-01,1.15,1.26
2020-04-01,1.28,0.06
2020-07-01,1.29,0.093333333
2020-10-01,1.24,0.09
2021-01-01,1.17,0.08
2021-04-01,1.07,0.07
2021-07-01,1.02,0.09
2021-10-01,1.12,0.08
2022-01-01,1.07,0.12
2022-04-01,1.03,0.77
2022-07-01,1.1,2.19
2022-10-01,1.02,3.653333333
2023-01-01,0.98,4.516666667
